id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jenis_kelamin,jumlah_kasus_meninggal,satuan,tahun
466,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,PEREMPUAN,9,ORANG,2022
467,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,LAKI-LAKI,0,ORANG,2022
468,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,PEREMPUAN,0,ORANG,2022
469,32,JAWA BARAT,3271,KOTA BOGOR,LAKI-LAKI,5,ORANG,2022
470,32,JAWA BARAT,3271,KOTA BOGOR,PEREMPUAN,4,ORANG,2022
471,32,JAWA BARAT,3272,KOTA SUKABUMI,LAKI-LAKI,6,ORANG,2022
472,32,JAWA BARAT,3272,KOTA SUKABUMI,PEREMPUAN,7,ORANG,2022
473,32,JAWA BARAT,3273,KOTA BANDUNG,LAKI-LAKI,6,ORANG,2022
474,32,JAWA BARAT,3273,KOTA BANDUNG,PEREMPUAN,4,ORANG,2022
475,32,JAWA BARAT,3274,KOTA CIREBON,LAKI-LAKI,0,ORANG,2022
476,32,JAWA BARAT,3274,KOTA CIREBON,PEREMPUAN,4,ORANG,2022
477,32,JAWA BARAT,3275,KOTA BEKASI,LAKI-LAKI,7,ORANG,2022
478,32,JAWA BARAT,3275,KOTA BEKASI,PEREMPUAN,7,ORANG,2022
479,32,JAWA BARAT,3276,KOTA DEPOK,LAKI-LAKI,8,ORANG,2022
480,32,JAWA BARAT,3276,KOTA DEPOK,PEREMPUAN,6,ORANG,2022
481,32,JAWA BARAT,3277,KOTA CIMAHI,LAKI-LAKI,3,ORANG,2022
482,32,JAWA BARAT,3277,KOTA CIMAHI,PEREMPUAN,11,ORANG,2022
483,32,JAWA BARAT,3278,KOTA TASIKMALAYA,LAKI-LAKI,12,ORANG,2022
484,32,JAWA BARAT,3278,KOTA TASIKMALAYA,PEREMPUAN,17,ORANG,2022
485,32,JAWA BARAT,3279,KOTA BANJAR,LAKI-LAKI,3,ORANG,2022
486,32,JAWA BARAT,3279,KOTA BANJAR,PEREMPUAN,0,ORANG,2022
487,32,JAWA BARAT,3201,KABUPATEN BOGOR,LAKI-LAKI,3,ORANG,2023
488,32,JAWA BARAT,3201,KABUPATEN BOGOR,PEREMPUAN,2,ORANG,2023
489,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,LAKI-LAKI,0,ORANG,2023
490,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,PEREMPUAN,0,ORANG,2023
491,32,JAWA BARAT,3203,KABUPATEN CIANJUR,LAKI-LAKI,2,ORANG,2023
